Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
TWIN RIVERS UNIFIED,California,CA,0601332,,44,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,24497,1088.72,22.5
TWIN VALLEY,Kansas,KS,2003960,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,569,53,10.74
TWIN VALLEY COMMUNITY LOCAL,Ohio,OH,3904900,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,730,54.1,13.49
TWIN VALLEY SD,Pennsylvania,PA,4224000,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2976,223.4,13.32
TWIN VALLEY UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000418,049 ,2,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,374,35.7,10.48
TWINFIELD USD #33,Vermont,VT,5008225,009 ,1,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,311,34.72,8.96
TWINSBURG CITY,Ohio,OH,3905007,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4116,228.25,18.03
TWO DIMENSIONS PREPARATORY ACADEMY,Texas,TX,4800069,,3,7-Independent Charter District,1-Open,Prekindergarten,5th Grade,440,22.85,19.26
TWO RIVERS CAREER EDUC SYSTEM,Illinois,IL,1700293,,0,4-Regional Education Service Agency (RESA),1-Open,9th Grade,12th Grade,–,–,–
TWO RIVERS COMMUNITY SCHOOL,North Carolina,NC,3700138,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,178,13.78,12.92
TWO RIVERS PCS,District of Columbia,DC,1100045,,3,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,985,79.7,12.36
TWO RIVERS PUBLIC SCHOOL DISTRICT,Wisconsin,WI,5515120,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1741,131.89,13.2
TWO RIVERS SCHOOL DISTRICT,Arkansas,AR,0500079,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,829,75.25,11.02
TWO RIVERS SUPERVISORY UNION,Vermont,VT,5000385,063 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,24.8,–
TWO ROCK UNION,California,CA,0640260,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,6th Grade,123,6.67,18.44
TWP HSD 113,Illinois,IL,1719080,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,3386,–,–
TYLER COUNTY SCHOOLS,West Virginia,WV,5401440,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1188,106,11.21
TYLER ISD,Texas,TX,4843470,,26,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,17721,1234.66,14.35
TYNGSBOROUGH,Massachusetts,MA,2511760,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1561,124.16,12.57
TYRONE,Oklahoma,OK,4030480,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,221,13.99,15.8
TYRONE AREA SD,Pennsylvania,PA,4224030,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1829,127.57,14.34
TYRRELL COUNTY SCHOOLS,North Carolina,NC,3704590,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,13th Grade,568,53.99,10.52
U S GRANT,Ohio,OH,3906280,,1,4-Regional Education Service Agency (RESA),1-Open,6th Grade,12th Grade,0,30,0.00
UA HOPE TEXARKANA TECHNICAL CENTER,ARKANSAS,AR,0500430,,1,8-Other education agencies,3-New,†,†,0,0.00,†
UA RICH MOUNTAIN TECHNICAL CENTER,ARKANSAS,AR,0500435,,1,8-Other education agencies,3-New,†,†,0,0.00,†
UA-PTC TECHNICAL CENTER,Arkansas,AR,0500058,,1,8-Other education agencies,1-Open,9th Grade,12th Grade,0,0.00,†
UACCB TECHNICAL CENTER,ARKANSAS,AR,0500431,,1,8-Other education agencies,3-New,†,†,0,0.00,†
UACCM TECHNICAL CENTER,ARKANSAS,AR,0500429,,1,8-Other education agencies,3-New,9th Grade,12th Grade,0,0.00,†
UBAH MEDICAL ACADEMY CHARTER SCHOOL,Minnesota,MN,2700363,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,313,16.32,19.18
UBLY COMMUNITY SCHOOLS,Michigan,MI,2634380,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,590,36.5,16.16
UCP,FLORIDA,FL,1200082,,0,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,762,81,9.41
UDALL,Kansas,KS,2012390,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,345,31.65,10.9
UF LAB SCH,Florida,FL,1202015,,2,8-Other education agencies,1-Open,Kindergarten,12th Grade,1244,66.24,18.78
UINTA COUNTY SCHOOL DISTRICT #1,Wyoming,WY,5602760,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2645,209.68,12.61
UINTA COUNTY SCHOOL DISTRICT #4,Wyoming,WY,5604500,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,785,68.05,11.54
UINTA COUNTY SCHOOL DISTRICT #6,Wyoming,WY,5604260,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,719,56.41,12.75
UINTAH DISTRICT,Utah,UT,4901080,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6787,–,–
UINTAH RIVER HIGH,Utah,UT,4900013,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,64,–,–
UKIAH SD 80R,Oregon,OR,4112540,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,28,5.26,5.32
UKIAH UNIFIED,California,CA,0640300,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,5938,277.87,21.37
ULEN-HITTERDAL PUBLIC SCHOOL DIST,Minnesota,MN,2740810,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,294,23.27,12.63
ULM ELEM,Montana,MT,3026880,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,129,11.83,10.9
ULSTER BOCES,New York,NY,3680920,,1,4-Regional Education Service Agency (RESA),1-Open,Kindergarten,12th Grade,0,78.5,0.00
ULYSSES,Kansas,KS,2012420,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1590,104.43,15.23
UMATILLA SD 6R,Oregon,OR,4112600,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1440,77.04,18.69
UME PREPARATORY ACADEMY,Texas,TX,4801425,,2,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1270,80.74,15.73
UMO N HO N NATION PUBLIC SCHS,Nebraska,NE,3119560,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,543,70.42,7.71
UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,New York,NY,3600019,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,790,65,12.15
UNALASKA CITY SCHOOL DISTRICT,Alaska,AK,0200720,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,387,30,12.9
UNCHARTED SHORES ACADEMY DISTRICT,CALIFORNIA,CA,0601556,,1,7-Independent Charter District,1-Open,Kindergarten,9th Grade,254,12.28,20.68
UNCOMPAHGRE BOCES,Colorado,CO,0800013,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,0.00,–
UNCOMPAHGRE BOCES AU,Colorado,CO,0800262,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
UNDERWOOD 8,North Dakota,ND,3818660,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,221,22.14,9.98
UNDERWOOD COMM SCHOOL DISTRICT,Iowa,IA,1928230,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,802,48.94,16.39
UNDERWOOD PUBLIC SCHOOL DISTRICT,Minnesota,MN,2740830,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,563,37.74,14.92
UNICOI COUNTY,Tennessee,TN,4704230,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2241,160,14.01
UNIFIED SCHOOL DISTRICT #1,Connecticut,CT,0900003,,0,5-State agency providing elementary and/or secondary level instruction,1-Open,8th Grade,12th Grade,145,98,1.48
UNIFIED SCHOOL DISTRICT #2,Connecticut,CT,0900004,,0,5-State agency providing elementary and/or secondary level instruction,1-Open,6th Grade,12th Grade,51,36,1.42
UNION,Oklahoma,OK,4030600,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,14959,866.87,17.26
UNION,Florida,FL,1201890,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2344,152.17,15.4
UNION 01,South Carolina,SC,4503750,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3814,264.9,14.4
UNION ACADEMY CHARTER SCHOOL,North Carolina,NC,3700112,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1987,115.79,17.16
UNION AREA SD,Pennsylvania,PA,4224060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,712,58,12.28
UNION BEACH PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3416350,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,609,61.8,9.85
UNION CITY,Tennessee,TN,4704260,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1604,97.13,16.51
UNION CITY,Oklahoma,OK,4030630,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,300,20.54,14.61
UNION CITY AREA SD,Pennsylvania,PA,4224090,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1019,82.55,12.34
UNION CITY COMMUNITY SCHOOLS,Michigan,MI,2634410,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,984,52.01,18.92
UNION CITY SCHOOL DISTRICT,New Jersey,NJ,3416380,,14,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,13101,837,15.65
UNION CO SCHOOL DIST,Mississippi,MS,2804350,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2899,186.54,15.54
UNION CO/CLG CORNER JOINT SCH DIST,Indiana,IN,1811610,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1315,89.95,14.62
UNION COMM SCHOOL DISTRICT,Iowa,IA,1900022,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1027,83.66,12.28
UNION COUNTY,Georgia,GA,1305250,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2905,190.8,15.23
UNION COUNTY,Kentucky,KY,2105640,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2076,147.49,14.08
UNION COUNTY,Tennessee,TN,4704290,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5132,316.91,16.19
UNION COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,NJ,3416400,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,–,76.55,–
UNION COUNTY PUBLIC SCHOOLS,North Carolina,NC,3704620,,52,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,13th Grade,40207,2425.79,16.57
UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,New Jersey,NJ,3400083,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,400,15,26.67
UNION COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,New Jersey,NJ,3418040,,8,9-Specialized public school district,1-Open,9th Grade,12th Grade,1633,138.69,11.77
UNION DAY SCHOOL,NORTH CAROLINA,NC,3700403,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,575,26.76,21.49
UNION ELEMENTARY,California,CA,0640320,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,5727,241.01,23.76
UNION ELEMENTARY DISTRICT (4277),Arizona,AZ,0408820,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1639,81.75,20.05
UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS,New York,NY,3628650,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2617,238.63,10.97
UNION GAP SCHOOL DISTRICT,Washington,WA,5309150,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,568,35.43,16.03
UNION GROVE ISD,Texas,TX,4843530,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,721,64.53,11.17
UNION GROVE J1 SCHOOL DISTRICT,Wisconsin,WI,5515180,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,828,52.7,15.71
UNION GROVE UHS SCHOOL DISTRICT,Wisconsin,WI,5515150,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,993,60.55,16.4
UNION HILL ELEMENTARY,California,CA,0640380,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,691,33.62,20.55
UNION HILL ISD,Texas,TX,4843560,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,307,33.38,9.2
UNION LOCAL,Ohio,OH,3904601,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1387,122,11.37
UNION PARISH,Louisiana,LA,2201770,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1919,104.15,18.43
UNION PREPARATORY ACADEMY AT INDIAN TRAI,NORTH CAROLINA,NC,3700401,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,1046,73,14.33
UNION PUBLIC SCHOOL DIST,Mississippi,MS,2804380,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,940,70.85,13.27
UNION R-XI,Missouri,MO,2930570,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2889,219.64,13.15
UNION RIDGE SD 86,Illinois,IL,1739780,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,638,–,–
UNION SCHOOL CORPORATION,Indiana,IN,1811730,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,6358,291,21.85
UNION SCHOOL DISTRICT,Connecticut,CT,0904650,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,46,–,–
UNION SD,Pennsylvania,PA,4224120,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,579,57,10.16
UNION SD 5,Oregon,OR,4112690,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,376,23.16,16.23
UNION SD 81,Illinois,IL,1739660,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,112,–,–
UNION SPRINGS CENTRAL SCHOOL DISTRICT,New York,NY,3629250,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,806,71.35,11.3
UNION STAR R-II,Missouri,MO,2930600,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,160,20.19,7.92
UNION STREET CHARTER DISTRICT,CALIFORNIA,CA,0602058,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,101,6.05,16.69
UNION TOWNSHIP SCHOOL CORP,Indiana,IN,1811700,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1432,87.9,16.29
UNION TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3416440,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,397,40.4,9.83
UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,New York,NY,3610710,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3623,298.4,12.14
UNION-NORTH UNITED SCHOOL CORP,Indiana,IN,1811910,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1258,75.72,16.61
UNION-SCIOTO LOCAL,Ohio,OH,3904953,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2091,110.63,18.9
UNIONDALE UNION FREE SCHOOL DISTRICT,New York,NY,3629280,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6890,565.5,12.18
UNIONTOWN,Kansas,KS,2012450,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,471,37,12.73
UNIONTOWN AREA SD,Pennsylvania,PA,4224150,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2512,182,13.8
UNIONVILLE-CHADDS FORD SD,Pennsylvania,PA,4224210,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3893,308.8,12.61
UNIONVILLE-SEBEWAING AREA S.D.,Michigan,MI,2634440,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,682,37.25,18.31
UNITED 7,North Dakota,ND,3818730,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,670,51.01,13.13
UNITED ABILITY,Alabama,AL,0100019,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,†,†,†,0.00,–
UNITED COMM SCHOOL DISTRICT,Iowa,IA,1928560,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,340,26.73,12.72
UNITED COMMUNITY CENTER ACOSTA MIDDLE SCHOOL AGENCY,WISCONSIN,WI,5500077,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,211,14.02,15.05
UNITED COMMUNITY SCHOOL,North Carolina,NC,3700367,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,252,16.96,14.86
UNITED CUSD 304,Illinois,IL,1700321,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,943,–,–
UNITED ISD,Texas,TX,4843650,,51,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,41902,2590.6,16.17
UNITED LOCAL,Ohio,OH,3904645,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1157,70.2,16.48
UNITED PREPARATORY ACADEMY,Ohio,OH,3901529,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,299,19,15.74
UNITED PREPARATORY ACADEMY EAST,OHIO,OH,3901593,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,190,10,19
UNITED SD,Pennsylvania,PA,4224240,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,944,81,11.65
UNITED SOUTH CENTRAL SCHOOL DIST.,Minnesota,MN,2700005,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,760,51.76,14.68
UNITED TWP HSD 30,Illinois,IL,1739870,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,1765,–,–
UNITY CHARTER SCHOOL,New Jersey,NJ,3400051,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,245,22.9,10.7
UNITY CLASSICAL CHARTER SCHOOL,NORTH CAROLINA,NC,3700409,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,245,16.82,14.57
UNITY MIDDLE COLLEGE HIGH DISTRICT,CALIFORNIA,CA,0602113,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,98,9.4,10.43
UNITY POINT CCSD 140,Illinois,IL,1739930,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,547,–,–
UNITY PREPARATORY CHARTER SCHOOL OF BROOKLYN,New York,NY,3601094,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,540,49.01,11.02
UNITY SCHOOL DISTRICT,New Hampshire,NH,3306750,006 ,1,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,8th Grade,86,10.4,8.27
UNITY SCHOOL DISTRICT,Wisconsin,WI,5500750,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,930,77.52,12
UNIV PREPARATION CHARTER SCH @ CSU CHANNEL ISLANDS DISTRICT,CALIFORNIA,CA,0602011,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,695,34.79,19.98
UNIVERSAL ACADEMY,Michigan,MI,2600237,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,686,38.06,18.02
UNIVERSAL ACADEMY,Texas,TX,4800070,,2,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,2397,138.86,17.26
UNIVERSAL ACADEMY CHARTER SCHOOL,Minnesota,MN,2700393,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,427,15.91,26.84
UNIVERSAL ALCORN CS,Pennsylvania,PA,4200872,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,529,28,18.89
UNIVERSAL AUDENRIED CS,Pennsylvania,PA,4200856,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,559,38,14.71
UNIVERSAL BLUFORD CS,Pennsylvania,PA,4200834,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,483,49,9.86
UNIVERSAL CREIGHTON CS,Pennsylvania,PA,4200866,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,741,49,15.12
UNIVERSAL DAROFF CS,Pennsylvania,PA,4200827,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,630,28,22.5
UNIVERSAL INSTITUTE CS,Pennsylvania,PA,4200055,,1,7-Independent Charter District,1-Open,Kindergarten,9th Grade,636,32,19.88
UNIVERSAL LEARNING ACADEMY,Michigan,MI,2600300,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,764,39.43,19.38
UNIVERSAL VARE CS,Pennsylvania,PA,4200855,,1,7-Independent Charter District,1-Open,5th Grade,8th Grade,203,17,11.94
UNIVERSITY ACADEMY,Missouri,MO,2900027,,3,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1102,78.4,14.06
UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ,3400073,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,439,40,10.98
UNIVERSITY CHARTER SCHOOL,ALABAMA,AL,0100199,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,519,22.1,23.48
UNIVERSITY CITY,Missouri,MO,2930660,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2553,212.16,12.03
UNIVERSITY HEIGHTS CHARTER SCHOOL,New Jersey,NJ,3400084,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,858,59,14.54
UNIVERSITY HIGH DISTRICT,CALIFORNIA,CA,0601834,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,483,20.3,23.79
UNIVERSITY OF CLEVELAND PREPARATORY SCHOOL,Ohio,OH,3901457,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,218,14,15.57
UNIVERSITY OF HOUSTON CHARTER SCHOOL,Texas,TX,4800031,,1,7-Independent Charter District,1-Open,1st Grade,5th Grade,86,6,14.33
UNIVERSITY OF ILL LAB SCHOOL,Illinois,IL,1700100,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,7th Grade,12th Grade,314,–,–
UNIVERSITY OF NEBRASKA HIGH SCHOOL,Nebraska,NE,3100059,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,9th Grade,12th Grade,183,17.51,10.45
UNIVERSITY OF TEXAS AT AUSTIN H S,TEXAS,TX,4801473,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,274,11.34,24.16
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,Texas,TX,4800251,,1,7-Independent Charter District,1-Open,Prekindergarten,5th Grade,290,22.82,12.71
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,Texas,TX,4800071,,23,7-Independent Charter District,1-Open,Kindergarten,12th Grade,618,76.36,8.09
UNIVERSITY OF VA,Virginia,VA,5100041,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,Prekindergarten,12th Grade,0,–,–
UNIVERSITY OF VERMONT,Vermont,VT,5000372,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,†,†
UNIVERSITY OF WASHINGTON (17904),Washington,WA,5300320,,0,8-Other education agencies,1-Open,–,–,†,0.00,–
UNIVERSITY PLACE SCHOOL DISTRICT,Washington,WA,5309180,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5661,310.91,18.21
UNIVERSITY PREP CHARTER HIGH SCHOOL,New York,NY,3600963,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,464,0.00,†
UNIVERSITY PREP CHARTER MIDDLE SCHOOL,NEW YORK,NY,3601197,,1,7-Independent Charter District,1-Open,5th Grade,7th Grade,300,11.17,26.86
UNIVERSITY PREPARATORY ACADEMY (PSAD),Michigan,MI,2600956,,4,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1851,126.93,14.58
UNIVERSITY PREPARATORY ACADEMY CHARTER DISTRICT,CALIFORNIA,CA,0602233,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,702,34.34,20.44
UNIVERSITY PREPARATORY ART & DESIGN,Michigan,MI,2600961,,2,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1272,77.8,16.35
UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN,New York,NY,3601008,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,410,45.75,8.96
UNIVERSITY PREPARATORY DISTRICT,CALIFORNIA,CA,0601759,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,955,45.29,21.09
UNIVERSITY PREPARATORY SCIENCE AND MATH (PSAD),Michigan,MI,2600952,,3,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1531,83.63,18.31
UNIVERSITY PREPARATORY VALUE HIGH DISTRICT,CALIFORNIA,CA,0602083,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,475,25.44,18.67
UNIVERSITY VIEW ACADEMY INC. (FRM LA CONNECTIONS),Louisiana,LA,2200157,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,3495,140.5,24.88
UNIVERSITY YES ACADEMY,Michigan,MI,2600971,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,462,15.82,29.2
