NCESSCH,free_lunches
20039000437,42
20039000448,0
20039000463,24
20039000512,21
20039000513,0
20039000536,0
20039000537,28
20039000538,41
20039000539,29
20039000540,25
20039000541,34
20039000542,24
20039000543,40
20039000601,50
20039000602,52
20039000612,0
20039000645,41
20039000702,41
20039000718,0
20039000735,0
20045000179,78
20048000137,43
20048000180,86
20048000181,67
20048000183,62
20048000185,45
20048000186,47
20048000187,79
20048000188,70
20048000189,81
20048000190,26
20048000191,60
20048000192,79
20048000402,0
20048000405,73
20048000435,0
20048500193,0
20048500194,46
20048500195,52
20048500196,67
20048500197,47
20048500198,92
20048500199,71
20048500200,91
20048500201,0
20048500202,70
20048500203,75
20048500204,31
20048500205,88
20048500334,58
20048500473,0
20051000011,40
20051000224,0
20051000225,59
20051000226,62
20051000227,30
20051000230,39
20051000232,52
20051000233,44
20051000237,34
20051000311,0
20051000312,0
20051000407,0
20051000414,34
20051000416,53
20051000425,44
20051000443,44
20051000444,36
20051000450,60
20051000452,0
20051000469,0
20051000480,41
20051000514,35
20051000544,41
20051000545,44
20051000547,52
20051000565,29
20051000585,39
20051000586,52
20051000711,23
20051000719,30
20051000720,66
20051000721,47
